"Game #","Date","Time","Type","Status","Home","Score","Away","Score","Venue","Rink"
"149151710","2025-09-07","18:30:00","Game","Final","Avalanche","5","Jr. Ducks (1)","2","Aliso Viejo Ice","1"
"149151715","2025-09-21","14:40:00","Game","Final","Red Wings","4","Jr. Ducks (1)","6","Skating Edge Harbor City","main"
"149151773","2025-09-28","07:40:00","Game","Final","Jr. Ducks (1)","6","Surf","0","Great Park Ice & Fivepoint Arena","2"
"149151748","2025-10-05","07:00:00","Game","Scheduled","Jr. Ducks (1)","--","OC Hockey (1)","--","Great Park Ice & Fivepoint Arena","1"
"149151725","2025-10-12","08:40:00","Game","Scheduled","Jr. Ducks (1)","--","Jr. Ducks (2)","--","Great Park Ice & Fivepoint Arena","1"
"149151756","2025-10-26","08:40:00","Game","Scheduled","Jr. Ducks (1)","--","OC Hockey (2)","--","Great Park Ice & Fivepoint Arena","1"
"149151712","2025-11-02","07:00:00","Game","Scheduled","SDIA","--","Jr. Ducks (1)","--","SD Ice Arena","NHL"
"149151714","2025-11-09","07:00:00","Game","Scheduled","Heat","--","Jr. Ducks (1)","--","Valley Center Ice","Glacier"
"149151835","2025-11-16","09:00:00","Game","Scheduled","Jr. Ducks (1)","--","Jr. Gulls","--","Great Park Ice & Fivepoint Arena","1"
"149151717","2025-12-07","12:30:00","Game","Scheduled","Jr. Ducks (3)","--","Jr. Ducks (1)","--","Lakewood ICE","A"
"149151713","2025-12-21","11:45:00","Game","Scheduled","Ice Hawks","--","Jr. Ducks (1)","--","Ice in Paradise","NHL"
"149151716","2026-01-11","08:40:00","Game","Scheduled","Mavericks","--","Jr. Ducks (1)","--","Carlsbad Ice Center","Main"
"149151798","2026-01-25","08:00:00","Game","Scheduled","Jr. Ducks (1)","--","Empire HC","--","Great Park Ice & Fivepoint Arena","2"
"149151766","2026-02-01","10:20:00","Game","Scheduled","Jr. Ducks (1)","--","Saints","--","Great Park Ice & Fivepoint Arena","1"
"149151709","2026-02-08","08:45:00","Game","Scheduled","Jr. Ducks (1)","--","Jr. Kings","--","Anaheim ICE","NHL"
"149151711","2026-02-22","07:10:00","Game","Scheduled","Jr. Reign","--","Jr. Ducks (1)","--","Icetown Riverside","RV B"
"149151782","2026-03-01","14:00:00","Game","Scheduled","Jr. Ducks (1)","--","Wave","--","Anaheim ICE","NHL"